model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
CE-NCF,100,1,128,128,0.001,10,0.0001,90,5,Adam,0.2748,0.5162,0.1768,0.6301
CE-NCF,100,1,128,128,0.001,10,0.0001,100,5,Adam,0.2769,0.5216,0.179,0.6394
CE-NCF,100,1,128,128,0.001,10,0.0001,110,5,Adam,0.2796,0.5263,0.1805,0.644
CE-NCF,100,1,128,128,0.001,10,0.0001,120,5,Adam,0.2827,0.5311,0.1807,0.6464
CE-NCF,100,1,128,128,0.001,10,0.0001,130,5,Adam,0.2829,0.532,0.181,0.6473
CE-NCF,100,1,128,128,0.001,10,0.0001,140,5,Adam,0.2881,0.5414,0.1836,0.6574
CE-NCF,100,1,128,128,0.001,10,0.0001,150,5,Adam,0.2862,0.5396,0.184,0.6593
CE-NCF,100,1,128,128,0.001,10,0.0001,160,5,Adam,0.289,0.5451,0.1851,0.6657
CE-NCF,100,1,128,128,0.001,10,0.0001,170,5,Adam,0.2892,0.5455,0.1856,0.6666
CE-NCF,100,1,128,128,0.001,10,0.0001,180,5,Adam,0.2937,0.5545,0.188,0.6765
CE-NCF,100,1,128,128,0.001,10,0.0001,190,5,Adam,0.295,0.5567,0.1884,0.6778
CE-NCF,100,1,128,128,0.001,10,0.0001,200,5,Adam,0.2947,0.5568,0.1895,0.682
CE-NCF,100,1,128,128,0.001,10,0.0001,210,5,Adam,0.295,0.557,0.1886,0.6793
CE-NCF,100,1,128,128,0.001,10,0.0001,220,5,Adam,0.2969,0.5617,0.1909,0.6882
CE-NCF,100,1,128,128,0.001,10,0.0001,230,5,Adam,0.2964,0.5613,0.191,0.6881
CE-NCF,100,1,128,128,0.001,10,0.0001,240,5,Adam,0.3003,0.5678,0.1923,0.6934
CE-NCF,100,1,128,128,0.001,10,0.0001,250,5,Adam,0.3005,0.5688,0.1936,0.6979
CE-NCF,100,1,128,128,0.001,10,0.0001,260,5,Adam,0.2984,0.5649,0.1919,0.6928
CE-NCF,100,1,128,128,0.001,10,0.0001,270,5,Adam,0.3002,0.5683,0.1929,0.6965
CE-NCF,100,1,128,128,0.001,10,0.0001,280,5,Adam,0.2988,0.5655,0.1923,0.694
