model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CE-NCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.208,0.062,0.0941,0.0503,0.0588,0.1213
CE-NCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.1939,0.0611,0.0931,0.0501,0.0576,0.1227
CE-NCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.1923,0.0609,0.0931,0.0494,0.057,0.1211
CE-NCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.1997,0.0626,0.0951,0.0508,0.0579,0.1243
CE-NCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.1807,0.0614,0.0944,0.0508,0.0581,0.1239
CE-NCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.1914,0.0633,0.0954,0.051,0.0596,0.1239
CE-NCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.198,0.0631,0.0953,0.0501,0.0596,0.1224
CE-NCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.179,0.0623,0.0947,0.0506,0.0586,0.1226
CE-NCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.198,0.0626,0.0947,0.0505,0.0587,0.1223
CE-NCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.2162,0.0601,0.0925,0.0497,0.0563,0.1212
CE-NCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.2311,0.0611,0.0932,0.0497,0.058,0.1204
CE-NCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.1865,0.0634,0.0969,0.0513,0.06,0.1257
CE-NCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.1584,0.063,0.097,0.0521,0.0595,0.1284
CE-NCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.2063,0.0618,0.0948,0.051,0.0569,0.1242
CE-NCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.1898,0.0618,0.0948,0.0506,0.0589,0.1237
CE-NCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.1873,0.0627,0.0965,0.0516,0.0604,0.1267
CE-NCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.1931,0.0609,0.0938,0.051,0.0579,0.124
CE-NCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.1956,0.0615,0.0944,0.0505,0.0567,0.1235
CE-NCF,100,1,128,128,5e-05,10,0.001,230,5,Adam,3.2138,0.0623,0.0952,0.0506,0.0588,0.1241
CE-NCF,100,1,128,128,5e-05,10,0.001,240,5,Adam,3.208,0.0629,0.0964,0.0505,0.0597,0.1234
CE-NCF,100,1,128,128,5e-05,10,0.001,250,5,Adam,3.1733,0.0627,0.0965,0.0518,0.0594,0.127
CE-NCF,100,1,128,128,5e-05,10,0.001,260,5,Adam,3.1832,0.0629,0.0958,0.0513,0.0597,0.1249
CE-NCF,100,1,128,128,5e-05,10,0.001,270,5,Adam,3.1865,0.0637,0.0964,0.0516,0.06,0.125
CE-NCF,100,1,128,128,5e-05,10,0.001,280,5,Adam,3.1989,0.0631,0.0958,0.051,0.0594,0.1235
CE-NCF,100,1,128,128,5e-05,10,0.001,290,5,Adam,3.1799,0.0636,0.0972,0.0513,0.0591,0.1264
CE-NCF,100,1,128,128,5e-05,10,0.001,300,5,Adam,3.1906,0.0638,0.097,0.0513,0.0612,0.1251
NCF,100,1,128,128,0.0001,10,0.0005,10,5,Adam,3.3377,0.0568,0.0859,0.046,0.0548,0.1106
NCF,100,1,128,128,0.0001,10,0.0005,20,5,Adam,3.265,0.0593,0.0902,0.0481,0.0553,0.117
NCF,100,1,128,128,0.0001,10,0.0005,30,5,Adam,3.2675,0.0587,0.0905,0.0483,0.056,0.1185
NCF,100,1,128,128,0.0001,10,0.0005,40,5,Adam,3.2766,0.059,0.091,0.048,0.0563,0.1183
NCF,100,1,128,128,0.0001,10,0.0005,50,5,Adam,3.2518,0.0604,0.0923,0.0484,0.0578,0.1188
