Falling Rank,type,model
14530,Unaffected,CVNCF
-113510,Unaffected,CVNCF
-25378,Unaffected,CVNCF
-32588,Unaffected,CVNCF
-16588,Unaffected,CVNCF
-1823,Unaffected,CVNCF
-178112,Unaffected,CVNCF
-247449,Unaffected,CVNCF
32834,Unaffected,CVNCF
15520,Unaffected,CVNCF
69433,Unaffected,CVNCF
-230635,Unaffected,CVNCF
-6476,Unaffected,CVNCF
73839,Unaffected,CVNCF
54998,Unaffected,CVNCF
5790,Unaffected,CVNCF
15405,Unaffected,CVNCF
77916,Unaffected,CVNCF
-127741,Unaffected,CVNCF
-113459,Unaffected,CVNCF
103822,Unaffected,CVNCF
-6741,Unaffected,CVNCF
-26796,Unaffected,CVNCF
-135188,Unaffected,CVNCF
-12441,Unaffected,CVNCF
-73217,Unaffected,CVNCF
14455,Unaffected,CVNCF
108178,Unaffected,CVNCF
-29673,Unaffected,CVNCF
28463,Unaffected,CVNCF
-14825,Unaffected,CVNCF
18698,Unaffected,CVNCF
-150346,Unaffected,CVNCF
-92384,Unaffected,CVNCF
-325995,Unaffected,CVNCF
748,Unaffected,CVNCF
-114455,Unaffected,CVNCF
13013,Unaffected,CVNCF
-9171,Unaffected,CVNCF
117183,Unaffected,CVNCF
84296,Unaffected,CVNCF
-19221,Unaffected,CVNCF
-68242,Unaffected,CVNCF
-54667,Unaffected,CVNCF
-130986,Unaffected,CVNCF
-178624,Unaffected,CVNCF
-50296,Unaffected,CVNCF
-57547,Unaffected,CVNCF
-24892,Unaffected,CVNCF
13389,Unaffected,CVNCF
-231868,Unaffected,CVNCF
-35399,Unaffected,CVNCF
-236948,Unaffected,CVNCF
-7305,Unaffected,CVNCF
-93285,Unaffected,CVNCF
42977,Unaffected,CVNCF
-160381,Unaffected,CVNCF
-3168,Unaffected,CVNCF
30561,Unaffected,CVNCF
-30067,Unaffected,CVNCF
-95413,Unaffected,CVNCF
-127817,Unaffected,CVNCF
-181698,Unaffected,CVNCF
-237677,Unaffected,CVNCF
-11771,Unaffected,CVNCF
-37488,Unaffected,CVNCF
15811,Unaffected,CVNCF
-64390,Unaffected,CVNCF
55533,Unaffected,CVNCF
62417,Unaffected,CVNCF
-80536,Unaffected,CVNCF
-32145,Unaffected,CVNCF
33257,Unaffected,CVNCF
-214003,Unaffected,CVNCF
2567,Unaffected,CVNCF
30325,Unaffected,CVNCF
10060,Unaffected,CVNCF
-562,Unaffected,CVNCF
-127862,Unaffected,CVNCF
-99906,Unaffected,CVNCF
-156825,Unaffected,CVNCF
123878,Unaffected,CVNCF
2651,Unaffected,CVNCF
-124977,Unaffected,CVNCF
-98313,Unaffected,CVNCF
-57794,Unaffected,CVNCF
-59450,Unaffected,CVNCF
-83276,Unaffected,CVNCF
-86631,Unaffected,CVNCF
-7860,Unaffected,CVNCF
30663,Unaffected,CVNCF
-3934,Unaffected,CVNCF
9952,Unaffected,CVNCF
22863,Unaffected,CVNCF
39538,Unaffected,CVNCF
-117220,Unaffected,CVNCF
-150782,Unaffected,CVNCF
26474,Unaffected,CVNCF
7014,Unaffected,CVNCF
7131,Unaffected,CVNCF
-124553,Unaffected,CVNCF
-2840,Unaffected,CVNCF
-25400,Unaffected,CVNCF
114609,Unaffected,CVNCF
-49100,Unaffected,CVNCF
-15104,Unaffected,CVNCF
-6294,Unaffected,CVNCF
-92230,Unaffected,CVNCF
28394,Unaffected,CVNCF
19690,Unaffected,CVNCF
2202,Unaffected,CVNCF
13202,Unaffected,CVNCF
-16637,Unaffected,CVNCF
-57,Unaffected,CVNCF
60237,Unaffected,CVNCF
21469,Unaffected,CVNCF
-170758,Unaffected,CVNCF
-152510,Unaffected,CVNCF
-107741,Unaffected,CVNCF
-142200,Unaffected,CVNCF
-11668,Unaffected,CVNCF
-71474,Unaffected,CVNCF
-20223,Unaffected,CVNCF
48436,Unaffected,CVNCF
-56359,Unaffected,CVNCF
-48180,Unaffected,CVNCF
5828,Unaffected,CVNCF
32059,Unaffected,CVNCF
-182986,Unaffected,CVNCF
-28488,Unaffected,CVNCF
-166063,Unaffected,CVNCF
-67130,Unaffected,CVNCF
2593,Unaffected,CVNCF
31975,Unaffected,CVNCF
-812,Unaffected,CVNCF
-58761,Unaffected,CVNCF
-82458,Unaffected,CVNCF
-129173,Unaffected,CVNCF
-41456,Unaffected,CVNCF
-73246,Unaffected,CVNCF
-85643,Unaffected,CVNCF
2338,Unaffected,CVNCF
4529,Unaffected,CVNCF
-22903,Unaffected,CVNCF
-62693,Unaffected,CVNCF
22593,Unaffected,CVNCF
-114781,Unaffected,CVNCF
90147,Unaffected,CVNCF
-120195,Unaffected,CVNCF
32470,Unaffected,CVNCF
58276,Unaffected,CVNCF
-3185,Unaffected,CVNCF
18831,Unaffected,CVNCF
135868,Unaffected,CVNCF
8722,Unaffected,CVNCF
-21943,Unaffected,CVNCF
-61983,Unaffected,CVNCF
12627,Unaffected,CVNCF
8400,Unaffected,CVNCF
-5265,Unaffected,CVNCF
-259035,Unaffected,CVNCF
-80331,Unaffected,CVNCF
2812,Unaffected,CVNCF
19088,Unaffected,CVNCF
110070,Unaffected,CVNCF
51191,Unaffected,CVNCF
-3664,Unaffected,CVNCF
77869,Unaffected,CVNCF
43212,Unaffected,CVNCF
94998,Unaffected,CVNCF
-110291,Unaffected,CVNCF
-218052,Unaffected,CVNCF
-136480,Unaffected,CVNCF
-214897,Unaffected,CVNCF
-97910,Unaffected,CVNCF
-59484,Unaffected,CVNCF
-383633,Unaffected,CVNCF
68318,Unaffected,CVNCF
17555,Unaffected,CVNCF
-121790,Unaffected,CVNCF
17375,Unaffected,CVNCF
-149640,Unaffected,CVNCF
-44813,Unaffected,CVNCF
52239,Unaffected,CVNCF
-82118,Unaffected,CVNCF
-262957,Unaffected,CVNCF
-115981,Unaffected,CVNCF
-95868,Unaffected,CVNCF
30908,Unaffected,CVNCF
-23257,Unaffected,CVNCF
-159581,Unaffected,CVNCF
7339,Unaffected,CVNCF
-37941,Unaffected,CVNCF
-278056,Unaffected,CVNCF
-161137,Unaffected,CVNCF
-1411,Unaffected,CVNCF
-212617,Unaffected,CVNCF
79856,Unaffected,CVNCF
4600,Unaffected,CVNCF
-121835,Unaffected,CVNCF
20689,Unaffected,CVNCF
-16981,Unaffected,CVNCF
-13781,Unaffected,CVNCF
29732,Unaffected,CVNCF
-75438,Unaffected,CVNCF
33191,Unaffected,CVNCF
-4631,Unaffected,CVNCF
52808,Unaffected,CVNCF
-170985,Unaffected,CVNCF
-90140,Unaffected,CVNCF
-12584,Unaffected,CVNCF
3027,Unaffected,CVNCF
38371,Unaffected,CVNCF
50032,Unaffected,CVNCF
-78425,Unaffected,CVNCF
44025,Unaffected,CVNCF
135661,Unaffected,CVNCF
-50069,Unaffected,CVNCF
-18191,Unaffected,CVNCF
50590,Unaffected,CVNCF
-4466,Unaffected,CVNCF
-24504,Unaffected,CVNCF
81811,Unaffected,CVNCF
-305833,Unaffected,CVNCF
-16770,Unaffected,CVNCF
32425,Unaffected,CVNCF
2108,Unaffected,CVNCF
-52793,Unaffected,CVNCF
7254,Unaffected,CVNCF
2955,Unaffected,CVNCF
-68595,Unaffected,CVNCF
