F-MAP@10,F-MAP@20,F-MAP@5,model
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0102328431372549,0.0,CE-NCF
-0.011111111111111127,-0.011621732026143805,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.11999999999999994,-0.060833333333333295,-0.24000000000000005,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.03666666666666667,0.02596491228070176,0.04,CE-NCF
-0.009999999999999953,-0.004999999999999949,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.004166666666666763,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.012898441427853236,0.0,CE-NCF
-0.11250000000000004,-0.08025529510049628,-0.24999999999999994,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.012222222222222218,-0.008849206349206357,-0.06666666666666665,CE-NCF
0.0,0.0,0.0,CE-NCF
0.05833333333333335,0.03194444444444444,0.1166666666666667,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.004166666666666666,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0031250000000000167,0.0,CE-NCF
0.0,-0.006904761904761905,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.05333333333333329,-0.032732843137255,-0.10666666666666663,CE-NCF
0.0,0.008012820512820373,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.0045454545454545435,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.0025,0.0,CE-NCF
-0.08333333333333337,-0.041666666666666574,-0.16666666666666663,CE-NCF
0.0,0.011475533195734577,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.026785714285714413,0.0224451447245565,0.0,CE-NCF
0.009999999999999995,0.00833333333333336,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.010000000000000009,0.0050000000000000044,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.014285714285714235,0.013345864661654105,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.01592217723796674,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.025000000000000022,-0.02505827505827507,-0.050000000000000044,CE-NCF
-0.04999999999999999,-0.024999999999999967,-0.1,CE-NCF
0.0,0.0,0.0,CE-NCF
0.05095238095238097,0.06167817261857522,0.040000000000000036,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.01530228758169938,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.03095238095238096,-0.015476190476190463,0.0,CE-NCF
0.10333333333333333,0.05166666666666664,0.20666666666666664,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.010029761904761875,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.003333333333333355,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.09999999999999998,0.050000000000000044,0.2,CE-NCF
0.0,0.0,0.0,CE-NCF
0.15000000000000002,0.08301282051282044,0.30000000000000004,CE-NCF
0.016666666666666607,0.010964912280701733,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.02678571428571419,0.013392857142857206,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.014285714285714235,0.0071428571428571175,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.037896825396825394,0.018948412698412687,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.016666666666666607,-0.00833333333333336,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.025768115613316864,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.030952380952380898,0.015476190476190532,0.0,CE-NCF
-0.04500000000000001,-0.022500000000000006,-0.09,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0125,0.001118421052631588,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.03361111111111111,-0.023851010101010105,0.0,CE-NCF
0.023611111111111027,0.014305555555555571,0.0,CE-NCF
0.0,-0.011584249084249043,0.0,CE-NCF
0.0,0.010029761904762013,0.0,CE-NCF
-0.08361111111111108,-0.05265773549635783,-0.1,CE-NCF
-0.022499999999999964,-0.006118421052631606,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.037896825396825484,0.018948412698412742,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0059649122807018395,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.024726448946650104,0.0,CE-NCF
